"site","username","password","email","first_name","last_name","phone1","phone2","fax","bank_account","address","short_profile_name","long_profile_name","memo","date_previous_balance","previous_balance","amount_in","amount_out","represent_this_buyinggroup"
3,"FOURMANOY","demo","FOURMANOY@ask.it","FOURMANOY","demo","phone1","phone2","fax","IBAN","address","FOURMANOY","FOURMANOY","Mémo FOURMANOY",2013-10-31,0,0,0,"False"
3,"FRISHKORN","demo","FRISHKORN@ask.it","FRISHKORN","demo","phone1","phone2","fax","IBAN","address","FRISHKORN","FRISHKORN","Mémo FRISHKORN",2013-10-31,0,0,0,"False"
3,"HOSTIE","demo","HOSTIE@ask.it","HOSTIE","demo","phone1","phone2","fax","IBAN","address","HOSTIE","HOSTIE","Mémo HOSTIE",2013-10-31,0,0,0,"False"
3,"LONGLUNE","demo","LONGLUNE@ask.it","LONGLUNE","demo","phone1","phone2","fax","IBAN","address","LONGLUNE","LONGLUNE","Mémo LONGLUNE",2013-10-31,0,0,0,"False"
3,"MOTTE","demo","MOTTE@ask.it","MOTTE","demo","phone1","phone2","fax","IBAN","address","MOTTE","MOTTE","Mémo MOTTE",2013-10-31,0,0,0,"False"
3,"MOULIN","demo","MOULIN@ask.it","MOULIN","demo","phone1","phone2","fax","IBAN","address","MOULIN","MOULIN","Mémo MOULIN",2013-10-31,0,0,0,"False"
3,"POM D'HAPPY","demo","POM D'HAPPY@ask.it","POM D'HAPPY","demo","phone1","phone2","fax","IBAN","address","POM D'HAPPY","POM D'HAPPY","Mémo POM D'HAPPY",2013-10-31,"-130.70",0,0,"False"
3,"PORTOIS","demo","PORTOIS@ask.it","PORTOIS","demo","phone1","phone2","fax","IBAN","address","PORTOIS","PORTOIS","Mémo PORTOIS",2013-10-31,0,0,0,"False"
3,"RAUCQ","demo","RAUCQ@ask.it","RAUCQ","demo","phone1","phone2","fax","IBAN","address","RAUCQ","RAUCQ","Mémo RAUCQ",2013-10-31,0,0,0,"False"
3,"URBAIN","demo","URBAIN@ask.it","URBAIN","demo","phone1","phone2","fax","IBAN","address","URBAIN","URBAIN","Mémo URBAIN",2013-10-31,0,0,0,"False"
4,,,,,,,,,"IBAN","address","ZZC-CRASEN","ZZC-CRASEN","Mémo ZZC-CRASEN",2013-10-31,0,0,0,"False"
4,,,,,,,,,"IBAN","address","ZZC-GASATH ASBL","ZZC-GASATH ASBL","Mémo ZZC-GASATH ASBL",2013-10-31,0,0,0,"False"
4,,,,,,,,,"IBAN","address","ZZC-SITE WEB","ZZC-SITE WEB","Mémo ZZC-SITE WEB",2013-10-31,0,0,0,"False"
4,,,,,,,,,"IBAN","address","ZZC-COTISATIONS APERO","ZZC-COTISATIONS APERO","Mémo ZZC-COTISATIONS APERO",2013-10-31,0,0,0,"True"
4,"BELOEIL","demo","BELOEIL@ask.it","BELOEIL","demo","phone1","phone2","fax","IBAN","address","BELOEIL","BELOEIL","Mémo BELOEIL",2013-10-31,0,0,0,"False"
4,"BLONDEEL","demo","BLONDEEL@ask.it","BLONDEEL","demo","phone1","phone2","fax","IBAN","address","BLONDEEL","BLONDEEL","Mémo BLONDEEL",2013-10-31,0,0,0,"False"
4,"BRUYERE","demo","BRUYERE@ask.it","BRUYERE","demo","phone1","phone2","fax","IBAN","address","BRUYERE","BRUYERE","Mémo BRUYERE",2013-10-31,0,0,0,"False"
4,"CAUCHIE","demo","CAUCHIE@ask.it","CAUCHIE","demo","phone1","phone2","fax","IBAN","address","CAUCHIE","CAUCHIE","Mémo CAUCHIE",2013-10-31,0,0,0,"False"
4,"D'HONDT","demo","D'HONDT@ask.it","D'HONDT","demo","phone1","phone2","fax","IBAN","address","D'HONDT","D'HONDT","Mémo D'HONDT",2013-10-31,0,0,0,"False"
4,"DORLOU","demo","DORLOU@ask.it","DORLOU","demo","phone1","phone2","fax","IBAN","address","DORLOU","DORLOU","Mémo DORLOU",2013-10-31,0,0,0,"False"
4,"FOURMANOY","demo","FOURMANOY@ask.it","FOURMANOY","demo","phone1","phone2","fax","IBAN","address","FOURMANOY","FOURMANOY","Mémo FOURMANOY",2013-10-31,0,0,0,"False"
4,"FRISHKORN","demo","FRISHKORN@ask.it","FRISHKORN","demo","phone1","phone2","fax","IBAN","address","FRISHKORN","FRISHKORN","Mémo FRISHKORN",2013-10-31,0,0,0,"False"
4,"HOSTIE","demo","HOSTIE@ask.it","HOSTIE","demo","phone1","phone2","fax","IBAN","address","HOSTIE","HOSTIE","Mémo HOSTIE",2013-10-31,0,0,0,"False"
4,"LONGLUNE","demo","LONGLUNE@ask.it","LONGLUNE","demo","phone1","phone2","fax","IBAN","address","LONGLUNE","LONGLUNE","Mémo LONGLUNE",2013-10-31,0,0,0,"False"
4,"MOTTE","demo","MOTTE@ask.it","MOTTE","demo","phone1","phone2","fax","IBAN","address","MOTTE","MOTTE","Mémo MOTTE",2013-10-31,0,0,0,"False"
4,"MOULIN","demo","MOULIN@ask.it","MOULIN","demo","phone1","phone2","fax","IBAN","address","MOULIN","MOULIN","Mémo MOULIN",2013-10-31,0,0,0,"False"
4,"POM D'HAPPY","demo","POM D'HAPPY@ask.it","POM D'HAPPY","demo","phone1","phone2","fax","IBAN","address","POM D'HAPPY","POM D'HAPPY","Mémo POM D'HAPPY",2013-10-31,"-130.70",0,0,"False"
4,"PORTOIS","demo","PORTOIS@ask.it","PORTOIS","demo","phone1","phone2","fax","IBAN","address","PORTOIS","PORTOIS","Mémo PORTOIS",2013-10-31,0,0,0,"False"
4,"RAUCQ","demo","RAUCQ@ask.it","RAUCQ","demo","phone1","phone2","fax","IBAN","address","RAUCQ","RAUCQ","Mémo RAUCQ",2013-10-31,0,0,0,"False"
4,"URBAIN","demo","URBAIN@ask.it","URBAIN","demo","phone1","phone2","fax","IBAN","address","URBAIN","URBAIN","Mémo URBAIN",2013-10-31,0,0,0,"False"
5,,,,,,,,,"IBAN","address","ZZC-LE PANIER LENSOIS","ZZC-LE PANIER LENSOIS","Mémo ZZC-LE PANIER LENSOIS",2013-10-31,0,0,0,"True"
5,"ROISIN","demo","ROISIN@ask.it","ROISIN","demo","phone1","phone2","fax","IBAN","address","ROISIN","ROISIN","Mémo ROISIN",2013-10-31,0,0,0,"False"
5,"BEAUREGARD","demo","BEAUREGARD@ask.it","BEAUREGARD","demo","phone1","phone2","fax","IBAN","address","BEAUREGARD","BEAUREGARD","Mémo BEAUREGARD",2013-10-31,0,0,0,"False"
5,"BETTE","demo","BETTE@ask.it","BETTE","demo","phone1","phone2","fax","IBAN","address","BETTE","BETTE","Mémo BETTE",2013-10-31,0,0,0,"False"
5,"BRUYERE","demo","BRUYERE@ask.it","BRUYERE","demo","phone1","phone2","fax","IBAN","address","BRUYERE","BRUYERE","Mémo BRUYERE",2013-10-31,0,0,0,"False"
5,"HOSTIE","demo","HOSTIE@ask.it","HOSTIE","demo","phone1","phone2","fax","IBAN","address","HOSTIE","HOSTIE","Mémo HOSTIE",2013-10-31,0,0,0,"False"
5,"RAUCQ","demo","RAUCQ@ask.it","RAUCQ","demo","phone1","phone2","fax","IBAN","address","RAUCQ","RAUCQ","Mémo RAUCQ",2013-10-31,0,0,0,"False"
